PaymentID,PayingUserID,RentedSpaceID,AmountInCADCents,CardNumber,CardExpiryDate,CardSecurityCode,CardholderName,CardCompany,CardType,PaymentDate
1,my-life-is-survival-horror,,1000,0843065502988806,2020-01-01,178,Wanda Walsh,Visa,Credit,2017-01-04
2,not-a-drug-dealer,,5000,5018754410750838,2020-01-02,805,Katherine Allen,Mastercard,Credit,2017-01-05
3,dark-messiah,,1000,6806082066763681,2020-01-03,112,Kurt Hanson,American Express,Credit,2017-01-07
4,blood-and-bacon,,1000,0442810600176467,2020-01-04,376,Ginger Larson,Discover,Credit,2017-01-08
5,prepare-to-dunk,,1000,0177946722808477,2020-01-05,637,Adrian Jenkins,Visa,Credit,2017-01-10
6,serious-samson,,5000,1224042967809802,2020-01-06,586,Shelly Howard,Mastercard,Credit,2017-01-11
7,fallout-isnt-that-great,,1000,2417456979726711,2020-01-07,307,Elisa Christensen,American Express,Credit,2017-01-13
8,rocket-league-is-a-visual-novel,,5000,9278570453372441,2020-01-08,739,Laurie Fox,Discover,Credit,2017-01-14
9,aliens-vs-zimbabwe,,1000,9449912989573880,2020-01-09,697,Jamie Newman,Visa,Credit,2017-01-19
10,aliens-vs-zimbabwe,,5000,7311081348111520,2020-01-10,714,Glenn Davidson,Mastercard,Credit,2017-01-20
11,my-life-is-survival-horror,1,17000,6978251547554178,2020-01-11,383,Wanda Walsh,American Express,Credit,2017-01-03
12,frankie,3,8000,6955950112214111,2020-01-12,763,Connor MacBone,Discover,Credit,2017-01-04
13,dark-messiah,5,8000,5202143370315456,2020-01-13,152,Dangus Dongus,Visa,Credit,2017-01-05
14,serious-samson,2,9000,1212500501131886,2020-01-21,960,Vanessa Herrera,Visa,Credit,2017-01-16
15,totally-postal,4,9000,6145214887837421,2020-01-22,584,Frankie Edgar,Mastercard,Credit,2017-01-17
16,serious-samson,6,9000,4104657558633889,2020-01-23,830,Vanessa Herrera,American Express,Credit,2017-01-18
