UserID,Password,UserType,MembershipPlan,Phone,Email,AddressStreet,AddressCity,AddressProvince,AddressCountry,AddressPostalCode
teh_tom,lol1,Regular,Normal,3661343228,sakusha@verizon.net,3043 Sherbrooke Ouest,Montreal,Quebec,Canada,E6K 1Y2
frankie,lol2,Regular,Silver,6323696437,dwheeler@verizon.net,2792 Ste. Catherine Ouest,Montreal,Quebec,Canada,L0N 2G1
jotun_lover23,lol3,StoreManager,Silver,7752212672,phish@hotmail.com,3684 rue Levy,Montreal,Quebec,Canada,T7N 1W3
my_life_is_survival_horror,lol4,Regular,Normal,3783855441,uqmcolyv@mac.com,1983 Ren?-L?vesque Blvd,Montreal,Quebec,Canada,J5X 2P4
not_a_drug_dealer,lol5,Regular,Normal,4903790127,preneel@yahoo.com,909 Papineau Avenue,Montreal,Quebec,Canada,L8E 2V1
totally-postal,lol6,Regular,Premium,6848914545,howler@verizon.net,2629 Merton Street,Toronto,Ontario,Canada,J3X 3K3
dark_messiah,lol7,Regular,Silver,1349352018,hahsler@hotmail.com,4748 Borough Drive,Toronto,Ontario,Canada,K2G 1W0
blood_and_bacon,lol8,Regular,Normal,6343070990,aracne@outlook.com,389 Front Street,Toronto,Ontario,Canada,A2B 0L3
kangz_and_kweens,lol9,Regular,Normal,1252166292,dwheeler@gmail.com,638 Eglinton Avenue,Toronto,Ontario,Canada,B4N 1S6
prepare_to_dunk,lol10,Regular,Normal,7612920545,grdschl@yahoo.ca,673 Halsey Avenue,Toronto,Ontario,Canada,G5X 3X1
serious_samson,lol11,Regular,Normal,5905549814,notaprguy@sbcglobal.net,2586 Boulevard Cremazie,Quebec City,Quebec,Canada,J8G 2L6
freedum,lol12,Regular,Normal,1153160368,smcnabb@verizon.net,4229 rue Garneau,Quebec City,Quebec,Canada,T4G 0A7
fallout_isnt_that_great,lol13,Regular,Premium,1318377598,gmcgath@att.net,4167 rue Garneau,Quebec City,Quebec,Canada,T4E 3Y6
rocket_league_is_a_visual_novel,lol14,Regular,Normal,5137425883,benits@comcast.net,3820 rue Garneau,Quebec City,Quebec,Canada,L4R 1A1
south_park_ruined_my_life,lol15,Regular,Normal,2178303331,okroeger@outlook.com,2133 Boulevard Cremazie,Quebec City,Quebec,Canada,B1E 3E7
tamy2132,lol16,StoreManager,Premium,7103595143,noticias@mac.com,1177 Montreal Road,Ottawa,Ontario,Canada,N7G 2B3
sigurd566,lol17,Regular,Normal,4632144313,meinkej@icloud.com,847 MacLaren Street,Ottawa,Ontario,Canada,G0R 2Z0
probst_the_despoiler,lol18,Regular,Normal,3747326813,jbryan@icloud.com,3771 Carling Avenue,Ottawa,Ontario,Canada,P0P 3E6
borderline_stupidity,lol19,Admin,Normal,6199980468,hellfire@sbcglobal.net,3629 Carling Avenue,Ottawa,Ontario,Canada,B3T 2H8
aliens_vs_zimbabwe,lol20,Regular,Normal,5790377231,mthurn@optonline.net,4328 Carling Avenue,Ottawa,Ontario,Canada,L3K 1S4
